method,lambda,alpha,coverage,rel_retention,angle_diversity,emb_diversity,n_surfaced,n_usable
entity_mmr,0.0,0.5,0.20702251361789045,1.0,0.615578526947058,0.5986592046608187,3.4584859584859586,1638
entity_mmr,0.1,0.5,0.2296121798882448,0.9956665370101978,0.6449115901503738,0.597523049756244,3.768009768009768,1638
entity_mmr,0.3,0.5,0.2799729581800535,0.964716553731043,0.6740365110750987,0.5973198898675242,4.474969474969475,1638
entity_mmr,0.5,0.5,0.3359071949952445,0.9025555698471962,0.6883390868460689,0.5959527079182763,5.246642246642247,1638
entity_mmr,0.7,0.5,0.38572860950586624,0.8343326660381187,0.6902682206699481,0.5917833045892492,5.954212454212454,1638
entity_mmr,1.0,0.5,0.43932532293581994,0.7280413377946132,0.6916464470103505,0.5891272424878736,6.746642246642247,1638
embedding_mmr,0.0,0.5,0.495212328693418,1.0,0.6211215979950652,0.6151023182979639,7.322954822954823,1638
embedding_mmr,0.1,0.5,0.49342814105680194,1.0425586410915326,0.6206718762228175,0.6167084758863184,7.307081807081807,1638
embedding_mmr,0.3,0.5,0.4911919123671448,1.0302693231048414,0.6232651095435077,0.624495481440722,7.258852258852259,1638
embedding_mmr,0.5,0.5,0.48733254031354106,1.0006497019992946,0.6249706206808532,0.6381696296880907,7.162393162393163,1638
embedding_mmr,0.7,0.5,0.4818797146211099,0.9068959633755393,0.6297207307878646,0.6604301434977049,7.0366300366300365,1638
embedding_mmr,1.0,0.5,0.4760243730711477,-0.4875325833017162,0.6411955985145265,0.7032969218478652,6.926129426129426,1638
hybrid_mmr,0.0,0.5,0.495212328693418,1.0,0.6211215979950652,0.6151023182979639,7.322954822954823,1638
hybrid_mmr,0.1,0.5,0.4970328891476803,1.0421269882285296,0.626848569123125,0.614670439038167,7.356532356532356,1638
hybrid_mmr,0.3,0.5,0.5022176266178938,1.0081128348412725,0.6403475254727526,0.6159048530221292,7.423076923076923,1638
hybrid_mmr,0.5,0.5,0.5056123463991572,0.9744254986499178,0.6510776057967175,0.6166177422882674,7.473137973137973,1638
hybrid_mmr,0.7,0.5,0.5094099315812609,0.9076329720981541,0.6594251114728122,0.6169285638590495,7.5335775335775335,1638
hybrid_mmr,1.0,0.5,0.5138902653612417,0.8575323144852517,0.6672443127609898,0.6167345787155881,7.611721611721611,1638
calibrated,0.0,0.5,0.20702251361789045,1.0,0.615578526947058,0.5986592046608187,3.4584859584859586,1638
calibrated,0.1,0.5,0.3338503078984878,0.9499796280501379,0.666709377931077,0.6000378967329388,4.474969474969475,1638
calibrated,0.3,0.5,0.4088956378504619,0.7670701171907608,0.6881700291737647,0.5901530554540697,6.082417582417582,1638
calibrated,0.5,0.5,0.44550985080644306,0.5820007679495743,0.6880236797277476,0.5859557178150754,7.130647130647131,1638
calibrated,0.7,0.5,0.4707559818801343,0.5327112086665605,0.6835720886041967,0.5858402444342601,7.424297924297925,1638
calibrated,1.0,0.5,0.5683819032461972,0.04876937722094521,0.6704653212491439,0.5851904686715639,8.33943833943834,1638
